topology,rows,cols,k,n,constraint,link_universe,planner,config_id,C,color_lower_bound,balance_ratio,min_links_per_color,max_links_per_color,planner_used,ilp_fallback_used,monochrome_rate,edge_conflicts,makespan_cycles,color_buffer_wait_cycles,link_wait_cycles,avg_latency,total_flits
tdm_fb_k2_n6,8,8,2,6,A,nd_active,greedy_first_fit,A|nd_active|greedy_first_fit,5,5,1.013157894736842,76,77,greedy_first_fit,False,1.0,0,99,2084,0,41.9765625,896
tdm_fb_k2_n6,8,8,2,6,A,nd_active,greedy_best_fit_balanced,A|nd_active|greedy_best_fit_balanced,5,5,1.013157894736842,76,77,greedy_best_fit_balanced,False,1.0,0,99,2084,0,41.9765625,896
tdm_fb_k2_n6,8,8,2,6,A,nd_active,per_edge_round_robin,A|nd_active|per_edge_round_robin,5,5,1.013157894736842,76,77,per_edge_round_robin,False,1.0,0,102,2129,0,41.783854166666664,896
tdm_fb_k2_n6,8,8,2,6,A,nd_active,ilp_min_C,A|nd_active|ilp_min_C,5,5,1.0945945945945945,74,81,ilp_min_C,False,1.0,0,99,2138,0,41.838541666666664,896
tdm_fb_k2_n6,8,8,2,6,A,nd_active,ilp_min_C_then_balance,A|nd_active|ilp_min_C_then_balance,5,5,1.013157894736842,76,77,ilp_min_C_then_balance,False,1.0,0,97,2023,0,41.684895833333336,896
tdm_fb_k2_n6,8,8,2,6,A+B,full,greedy_first_fit,A+B|full|greedy_first_fit,5,5,1.5,64,96,greedy_first_fit,False,1.0,0,100,2180,0,42.109375,896
tdm_fb_k2_n6,8,8,2,6,A+B,full,greedy_best_fit_balanced,A+B|full|greedy_best_fit_balanced,5,5,1.5,64,96,greedy_best_fit_balanced,False,1.0,0,100,2180,0,42.109375,896
tdm_fb_k2_n6,8,8,2,6,A+B,full,per_edge_round_robin,A+B|full|per_edge_round_robin,5,5,1.5,64,96,per_edge_round_robin,False,1.0,0,100,2180,0,42.109375,896
tdm_fb_k2_n6,8,8,2,6,A+B,full,ilp_min_C,A+B|full|ilp_min_C,5,5,1.0945945945945945,74,81,ilp_min_C,False,1.0,0,99,2138,0,41.838541666666664,896
tdm_fb_k2_n6,8,8,2,6,A+B,full,ilp_min_C_then_balance,A+B|full|ilp_min_C_then_balance,5,5,1.013157894736842,76,77,ilp_min_C_then_balance,False,1.0,0,97,2023,0,41.684895833333336,896
tdm_fb_k2_n6,8,8,2,6,A+B,nd_active,greedy_first_fit,A+B|nd_active|greedy_first_fit,5,5,1.5,64,96,greedy_first_fit,False,1.0,0,100,2180,0,42.109375,896
tdm_fb_k2_n6,8,8,2,6,A+B,nd_active,greedy_best_fit_balanced,A+B|nd_active|greedy_best_fit_balanced,5,5,1.5,64,96,greedy_best_fit_balanced,False,1.0,0,100,2180,0,42.109375,896
tdm_fb_k2_n6,8,8,2,6,A+B,nd_active,per_edge_round_robin,A+B|nd_active|per_edge_round_robin,5,5,1.5,64,96,per_edge_round_robin,False,1.0,0,100,2180,0,42.109375,896
tdm_fb_k2_n6,8,8,2,6,A+B,nd_active,ilp_min_C,A+B|nd_active|ilp_min_C,5,5,1.0945945945945945,74,81,ilp_min_C,False,1.0,0,99,2138,0,41.838541666666664,896
tdm_fb_k2_n6,8,8,2,6,A+B,nd_active,ilp_min_C_then_balance,A+B|nd_active|ilp_min_C_then_balance,5,5,1.013157894736842,76,77,ilp_min_C_then_balance,False,1.0,0,97,2023,0,41.684895833333336,896
