trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
46,-676532.5160000001,4,hybrid_nk,2,False,379871,334914,517944,3942,20802,369009,0,0,175458,216,0,36.02171669583165,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,8,flat_butterfly,table_based,credit_vc,8,nearest,round_robin
47,-2398875.648,16,streaming,7,False,1810844,2629698,1040472,9363,0,659220,0,0,847164,1048,0,77.70189701897019,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,8,mesh2d,ugal,wormhole,1,nearest,round_robin
48,-1408764.8120000002,4,block,1,True,888250,1302579,1034712,3449,0,24688,0,0,501576,212,0,50.9142567224759,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,2,16,flat_butterfly,ugal,wormhole,4,nearest,load_aware
49,-1226836.8120000002,4,row,1,False,705545,657474,1034712,3449,0,32454,4,0,134370,212,0,286.41312879058154,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,4,mesh2d,xy,credit_vc,8,load_aware,load_aware
50,-4347764.640000001,16,block,4,True,3810370,5210163,1040472,7392,0,156564,228,0,6441036,1040,0,10.018169112508735,0.4891434561245882,cube,16,27,5,flat_butterfly,ugal,wormhole,4,4,flat_butterfly,table_based,credit_vc,8,nearest,load_aware
51,-363012.712,4,k_split,4,True,231071,334899,259752,3449,3606,13757,0,0,709995,212,0,216.45079536263142,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,8,flat_butterfly,ugal,credit_vc,8,load_aware,load_aware
52,-2310918.34,16,block,1,False,1776908,2629698,1040472,7392,0,122949,0,0,2180952,1040,0,449.75686274509803,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,16,flat_butterfly,xy,credit_vc,2,nearest,load_aware
53,-2327422.4560000002,16,expert,1,False,1777460,2629698,1040472,7638,0,281961,18,0,803808,956,0,404.23766364551864,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,1,8,flat_butterfly,table_based,wormhole,1,load_aware,nearest
54,-4171246.3559999997,16,hybrid_nk,4,True,3531592,5210163,1040472,7638,0,1178898,0,0,3370008,956,0,76.88703730306948,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,16,flat_butterfly,table_based,credit_vc,8,nearest,nearest
55,-2426334.048,16,hybrid_nk,1,False,1800752,2629698,1040472,9363,0,1034676,48,0,669228,1048,0,102.80650531438084,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,1,8,flat_butterfly,table_based,wormhole,8,nearest,round_robin
56,-2375287.2399999998,16,k_split,4,False,1849652,2629698,1040472,7392,0,39141,57,0,6441036,1040,0,40.07267645003494,0.4891434561245882,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,4,mesh2d,table_based,credit_vc,4,nearest,load_aware
57,-4036032.756,16,col,2,True,3497590,5210163,1040472,7638,0,166782,0,0,1866120,956,0,413.6094796496651,1.0,cube,16,27,5,torus2d,xy,credit_vc,4,8,flat_butterfly,ugal,wormhole,8,nearest,nearest
58,-719693.294,4,entwined_ring,2,True,456931,651315,518200,4681,2128,27259,0,0,1229484,194,0,38.83403473129202,1.0,cube,16,27,5,mesh2d,ugal,wormhole,4,8,mesh2d,ugal,wormhole,8,nearest,nearest
59,-2399171.7399999998,16,hybrid_nk,4,False,1793993,2629698,1040472,7392,0,834633,0,0,1571280,1040,0,131.19516280589943,1.0,cube,16,27,5,torus2d,ugal,credit_vc,1,16,flat_butterfly,xy,wormhole,1,load_aware,load_aware
60,-4053276.84,16,entwined_ring,7,True,3510442,5210163,1040472,7392,0,211194,0,0,2148660,1040,0,155.76561893674815,1.0,cube,16,27,5,torus2d,xy,credit_vc,4,16,mesh2d,ugal,credit_vc,8,nearest,load_aware
61,-715763.212,4,entwined_ring,2,True,454612,651315,518200,3449,2128,13612,0,0,721437,212,0,43.74065598779558,0.7416367004467691,cube,16,27,5,torus2d,ugal,wormhole,4,16,mesh2d,ugal,wormhole,4,load_aware,load_aware
62,-626252.816,4,col,2,False,357139,328770,518200,3942,2802,92252,0,0,175458,216,0,144.1062645844552,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,8,mesh2d,ugal,credit_vc,4,nearest,round_robin
63,-2360928.64,16,expert,1,False,1817588,2629698,1040472,7392,0,216252,0,0,3528240,1040,0,66.80113163587951,1.0,cube,16,27,5,torus2d,ugal,credit_vc,4,4,mesh2d,xy,credit_vc,1,load_aware,load_aware
64,-579570.794,4,streaming,2,True,447083,657459,259036,4681,2402,20334,0,0,183789,194,0,404.8492183560262,1.0,cube,16,27,5,torus2d,table_based,wormhole,2,8,mesh2d,ugal,wormhole,2,nearest,nearest
65,-2503766.4480000003,16,block,4,False,1812548,2629698,1040472,9363,0,1691088,0,0,544248,1048,0,74.62502323852017,1.0,cube,16,27,5,torus2d,xy,wormhole,1,8,flat_butterfly,table_based,wormhole,4,load_aware,round_robin
66,-4060474.956,16,block,4,True,3505354,5210163,1040472,7638,0,333564,0,0,1866120,956,0,206.80473982483255,1.0,cube,16,27,5,torus2d,xy,wormhole,4,4,flat_butterfly,table_based,credit_vc,1,nearest,nearest
67,-4330902.1559999995,16,expert,1,True,3573358,5210163,1040472,7638,0,2357796,0,0,3370008,956,0,38.44351865153474,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,16,mesh2d,xy,wormhole,4,nearest,nearest
68,-4037304.248,16,block,4,True,3501076,5210163,1040472,9363,0,141186,0,0,3341676,1048,0,285.44568888888887,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,16,flat_butterfly,table_based,wormhole,1,load_aware,round_robin
69,-2310918.34,16,col,7,False,1776908,2629698,1040472,7392,0,122949,0,0,2180952,1040,0,449.75686274509803,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,2,16,flat_butterfly,xy,credit_vc,8,nearest,load_aware
70,-2592924.048,16,row,1,False,1918004,2629698,1040472,9363,0,1527936,168,0,1084008,1048,0,21.62642099024837,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,1,4,mesh2d,ugal,wormhole,1,nearest,round_robin
71,-181751.89400000003,4,entwined_ring,7,False,105888,95262,149294,4681,1828,2805,0,0,837609,194,0,306.5353188239786,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,16,mesh2d,ugal,credit_vc,8,load_aware,nearest
72,-629397.316,4,hybrid_nk,2,False,367986,334914,517944,3942,10402,16507,0,0,416475,216,0,120.76052948255115,1.0,cube,16,27,5,torus2d,xy,wormhole,4,4,flat_butterfly,xy,wormhole,4,nearest,round_robin
73,-4159934.556,16,col,2,True,3557026,5210163,1040472,7638,0,811440,0,0,6676380,956,0,47.78666666666667,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,4,mesh2d,table_based,credit_vc,2,nearest,nearest
74,-1403401.212,4,expert,1,True,877470,1302579,1034712,3449,0,78852,0,0,169863,212,0,160.9494787489976,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,4,mesh2d,xy,credit_vc,4,nearest,load_aware
75,-2356021.156,16,expert,1,False,1780247,2629698,1040472,7638,0,540096,0,0,667680,956,0,299.2511415525114,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,16,mesh2d,ugal,wormhole,4,nearest,nearest
76,-1227785.994,4,expert,1,False,707050,657474,1034712,4681,0,24436,0,0,469557,194,0,162.05409769882922,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,8,mesh2d,ugal,wormhole,1,nearest,nearest
77,-615027.312,4,col,2,False,355017,328770,518200,3449,2802,2203,0,0,757602,212,0,343.9657240788346,0.9438731790916881,cube,16,27,5,flat_butterfly,table_based,wormhole,4,8,flat_butterfly,ugal,wormhole,1,nearest,load_aware
78,-213522.894,4,entwined_ring,7,True,135493,188687,149294,4681,1828,24465,0,0,418653,194,0,84.12616577596144,1.0,cube,16,27,5,torus2d,ugal,wormhole,2,8,mesh2d,ugal,wormhole,4,load_aware,nearest
