trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
186,-700265.716,4,col,7,True,588066,188687,57480,149294,3942,462116,367641,0,0,792441,216,0,13.96687543493389,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,8,flat_butterfly,xy,wormhole,1,nearest,round_robin
187,-4049739.248,16,streaming,4,True,3504682,5210163,14856,1040472,9363,0,229320,156,0,1960224,1048,0,216.15939687668282,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,4,mesh2d,table_based,wormhole,8,nearest,round_robin
188,-2665839.556,16,hybrid_nk,2,False,1829918,2629698,60402,1040472,7638,0,3141570,0,0,2533236,956,0,53.16486209065925,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,1,4,flat_butterfly,xy,credit_vc,2,nearest,nearest
189,-710016.8120000002,4,hybrid_nk,4,False,577078,173634,15768,259560,3449,391750,24688,0,0,501576,212,0,50.9142567224759,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,2,8,flat_butterfly,xy,wormhole,8,load_aware,load_aware
190,-579619.912,4,hybrid_nk,4,True,445903,334899,2804,259560,3449,218541,32464,5,0,134403,212,0,286.31098430813125,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,1,4,flat_butterfly,ugal,wormhole,4,load_aware,load_aware
191,-2426334.048,16,entwined_ring,4,False,1800752,2629698,31236,1040472,9363,0,1034676,48,0,669228,1048,0,102.80650531438084,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,8,mesh2d,xy,credit_vc,4,nearest,round_robin
192,-1405578.494,4,expert,1,True,882391,1302579,9909,1034712,4681,0,48927,24,0,469587,194,0,81.01887173276819,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,2,4,mesh2d,table_based,wormhole,1,nearest,nearest
193,-691635.994,4,block,4,False,430963,325698,82467,518200,4681,55708,6366,0,0,869220,194,0,9.734997029114677,0.07719451416930409,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,8,mesh2d,xy,wormhole,2,load_aware,nearest
194,-694002.816,4,k_split,2,False,424953,334914,5571,518072,3942,67241,92252,0,0,175458,216,0,144.1062645844552,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,16,flat_butterfly,ugal,wormhole,2,nearest,round_robin
195,-838544.494,4,hybrid_nk,4,True,688728,334899,15141,259560,4681,461366,191001,0,0,90807,194,0,53.02265372168285,1.0,cube,16,27,5,torus2d,xy,wormhole,1,8,mesh2d,ugal,wormhole,4,nearest,nearest
196,-281212.11600000004,4,k_split,7,False,204514,105154,3702,149059,3942,92775,13800,0,0,782823,216,0,216.860075634792,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,4,8,flat_butterfly,xy,wormhole,1,load_aware,round_robin
197,-4159934.556,16,streaming,2,True,3557026,5210163,67200,1040472,7638,0,811440,0,0,6676380,956,0,47.78666666666667,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,4,flat_butterfly,xy,wormhole,4,nearest,nearest
198,-1425035.294,4,row,1,True,887632,1302579,15150,1034712,4681,0,191106,3,0,90753,194,0,52.99115511551155,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,4,mesh2d,ugal,credit_vc,8,nearest,nearest
199,-2398875.648,16,streaming,1,False,1810844,2629698,41328,1040472,9363,0,659220,0,0,847164,1048,0,77.70189701897019,1.0,cube,16,27,5,torus2d,table_based,credit_vc,2,8,flat_butterfly,xy,credit_vc,4,nearest,round_robin
