trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
125,-4114685.04,16,col,4,True,3533194,5210163,43368,1040472,7392,0,597756,0,0,3049704,1040,0,74.04685482383324,1.0,cube,16,27,5,supermesh_alter,table_based,credit_vc,4,8,butterfly,table_based,wormhole,1,load_aware,load_aware
126,-2329837.548,16,entwined_ring,1,False,1780289,2629698,10773,1040472,9363,0,274389,0,0,1321944,1048,0,298.0844704353476,1.0,cube,16,27,5,supermesh_bi,xy,wormhole,2,16,mesh2d,table_based,wormhole,2,nearest,round_robin
127,-742658.616,4,entwined_ring,2,False,430009,328770,31881,518200,3942,78441,527610,0,0,145020,216,0,25.1816442395157,1.0,cube,16,27,5,butterfly,table_based,credit_vc,1,16,mesh2d,xy,wormhole,2,load_aware,round_robin
128,-742642.216,4,entwined_ring,2,True,476108,651315,7822,518200,3942,39850,66456,0,0,294216,216,0,102.63564305804142,1.0,cube,16,27,5,mesh2d,xy,credit_vc,2,8,flat_butterfly,xy,wormhole,8,nearest,round_robin
129,-615512.994,4,entwined_ring,4,True,466712,325683,11542,259944,4681,248566,178926,0,0,130515,194,0,69.55605614278288,1.0,cube,16,27,5,mesh2d,xy,credit_vc,1,16,butterfly,ugal,credit_vc,4,load_aware,nearest
130,-1397567.212,4,col,1,True,876115,1302579,3633,1034712,3449,0,34062,0,0,287499,212,0,220.97880539499036,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,2,8,mesh2d,xy,wormhole,1,nearest,load_aware
131,-4328914.447999999,16,col,7,True,3615142,5210163,125316,1040472,9363,0,1916628,0,0,1295664,1048,0,25.62533116282039,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,16,butterfly,ugal,credit_vc,4,nearest,round_robin
132,-337273.494,4,col,7,False,254565,95262,6183,149294,4681,153358,71251,0,0,201906,194,0,129.84247129225295,1.0,cube,16,27,5,supermesh_bi,xy,credit_vc,2,16,flat_butterfly,xy,wormhole,4,nearest,nearest
133,-642147.212,4,entwined_ring,2,False,380126,328770,3795,518200,3449,28558,22312,0,0,572634,212,0,211.5457180500659,1.0,cube,16,27,5,butterfly,table_based,wormhole,4,8,mesh2d,xy,wormhole,4,load_aware,load_aware
134,-2354020.548,16,entwined_ring,1,False,1783472,2629698,13956,1040472,9363,0,484389,0,0,990624,1048,0,230.09916881627973,1.0,cube,16,27,5,butterfly,xy,wormhole,2,4,butterfly,table_based,wormhole,2,nearest,round_robin
135,-2403256.2399999998,16,col,1,False,1808087,2629698,38571,1040472,7392,0,734538,0,0,3607260,1040,0,83.25591765834436,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,4,butterfly,table_based,wormhole,2,nearest,load_aware
136,-364806.712,4,col,7,True,279308,188687,9201,149294,3449,153358,101617,0,0,239031,212,0,87.253124660363,1.0,cube,16,27,5,butterfly,table_based,wormhole,2,4,butterfly,table_based,wormhole,8,load_aware,load_aware
137,-2420761.756,16,col,7,False,1790978,2629698,21462,1040472,7638,0,1080192,0,0,667680,956,0,149.6255707762557,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,16,mesh2d,xy,credit_vc,4,load_aware,nearest
